Comment,Designator,Footprint,LCSC
10u,"C13,C16,C2,C24,C36,C38,C42,C43,C45,C46,C8",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
L7805 (D2PAK),U1,TO-263-2,C15077
3.3R,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17888
100K,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17900
100,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17901
10k,"R10,R11,R2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
4.7k,"R8,R9,Rf1",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17936
10n,"C19,C35,C4,C40",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1846
680p,C31,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C237231
100n,"C1,C14,C18,C25,C26,C27,C28,C29,C30,C32,C37,C39,C41,C6,C7,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
L7812,U3,TO-252-2,C26184
UCC27517DBVR,U2,SOT-23-5_HandSoldering,C2653784
1uH,L5,L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,C370279
1k,"R7,Rb1,Rin1",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
470,"R4,Rl1",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4502
100n,"C21,C23,C47",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186
AOD407,Q3,TO-252-2,C75092
Ferrite Bead (2A),L4,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C98308
