Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.98,-110.85,0.0,top
C2,100nF,C_0805_2012Metric,148.78,-105.33,0.0,top
FID1,~,Fiducial_1mm_Mask2mm,162.32,-100.71,0.0,top
FID2,~,Fiducial_1mm_Mask2mm,138.81,-109.99,180.0,top
H1,MOUNTINGHOLE2.5,MountingHole_2.5mm,135.8011,-113.2586,180.0,top
H2,MOUNTINGHOLE2.5,MountingHole_2.5mm,161.2011,-113.2586,180.0,top
JP1,~,1X07_ROUND_76,148.5011,-113.2586,180.0,top
R1,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.16,-103.99,0.0,top
R2,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.5,-97.12,-90.0,top
R3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.431,-110.871,180.0,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.825,-110.85,0.0,top
R5,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.61,-108.57,90.0,top
U1,SI5351A,MSOP-10_3x3mm_P0.5mm,154.88,-106.95,270.0,top
X1,~,SMA_EDGELAUNCH_Same,138.3411,-96.7486,-90.0,top
X2,~,SMA_EDGELAUNCH_Same,148.5011,-96.7486,-90.0,top
X3,~,SMA_EDGELAUNCH_Same,158.6611,-96.7486,-90.0,top
Y1,OSCILLATOR,OSC-SMD_4P-L3.2-W2.5-BL_1XTV,145.07,-106.8375,90.0,top
