Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.7,-102.58,-90.0,top
C2,240p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.69,-106.5,90.0,top
C3,16p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.7475,-101.51,0.0,top
C4,270p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.85,-103.71,180.0,top
C5,16p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.85,-101.51,0.0,top
C6,240p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.419,-104.65,90.0,top
C7,47p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.21,-101.5,0.0,top
L1,100n,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,106.51,-105.2,-90.0,top
L2,100n,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,111.4175,-106.44,0.0,top
L3,100n,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,118.2,-105.2275,-90.0,top
